,county,state,county_population,covid_hospital_admissions_per_100k,covid_cases_per_100k,lon,lat
33942,Rutland County,Vermont,58191.0,24.1,426.18,-73.02664355926748,43.57428445
33943,Brunswick County,Virginia,16231.0,0.0,67.77,-77.8670883,36.7788996
33944,Greensville County,Virginia,11336.0,0.0,26.46,-77.5768298,36.6405713
33945,Emporia City,Virginia,5346.0,0.0,112.23,-77.53665403135645,36.6968769
33946,Accomack County,Virginia,32316.0,0.0,61.89,-75.6743538,37.7422207
33947,Northampton County,Virginia,11710.0,0.0,68.32,-75.9265679,37.3688433
33948,Effingham County,Georgia,64296.0,2.6,82.43,-81.338687,32.3419626
33949,Tattnall County,Georgia,25286.0,2.6,63.28,-82.0580692,32.0252793
33950,Liberty County,Georgia,61435.0,2.6,61.85,-81.483441,31.8031632
33951,Long County,Georgia,19559.0,2.6,20.45,-81.753725,31.7704898
33952,Jasper County,South Carolina,30073.0,2.6,36.58,-81.0414726,32.4048602
33953,Evans County,Georgia,10654.0,2.6,0.0,-81.8980725,32.1613648
33954,Bryan County,Georgia,39627.0,2.6,90.85,-81.4241017,32.0034889
33955,Chatham County,Georgia,289430.0,2.6,70.14,-81.0626008,31.9668887
33956,Beaufort County,South Carolina,192122.0,2.6,74.95,-80.6923169,32.3850708
33957,Murray County,Georgia,40096.0,2.1,4.99,-84.7352262,34.7851861
33958,Whitfield County,Georgia,104628.0,2.1,16.25,-84.9745026,34.7969288
33959,Jenkins County,Georgia,8676.0,1.9,11.53,-81.9613566,32.7793141
33960,Richmond County,Georgia,202518.0,1.9,35.55,-82.09207958530698,33.385076
33961,Warren County,Georgia,5254.0,1.9,38.07,-82.694643,33.4120461
33962,Barnwell County,South Carolina,20866.0,1.9,38.34,-81.4190808,33.2641009
33963,Columbia County,Georgia,156714.0,1.9,44.03,-82.2563979,33.5313102
33964,Glascock County,Georgia,2971.0,1.9,0.0,-82.6112005,33.2168832
33965,McDuffie County,Georgia,21312.0,1.9,9.38,-82.4830204,33.4631845
33966,Taliaferro County,Georgia,1537.0,1.9,0.0,-82.9043661,33.5820382
33967,Burke County,Georgia,22383.0,1.9,40.21,-81.9575983,33.0482247
33968,Lincoln County,Georgia,7921.0,1.9,0.0,-82.4508165,33.7876673
33969,Aiken County,South Carolina,170872.0,1.9,53.84,-81.6182086,33.5723191
33970,Edgefield County,South Carolina,27260.0,1.9,47.69,-81.9759066,33.7635851
33971,Hale County,Alabama,14651.0,0.4,47.78,-87.6561668,32.7412417
33972,Pickens County,Alabama,19930.0,0.4,15.05,-88.1244034,33.2948421
33973,Greene County,Alabama,8111.0,0.4,0.0,-87.9915392,32.8620514
33974,Tuscaloosa County,Alabama,209355.0,0.4,35.35,-87.4862182,33.2668398
33975,Carter County,Tennessee,56391.0,4.4,26.6,-82.1194772,36.2840805
33976,Unicoi County,Tennessee,17883.0,4.4,55.92,-82.444068,36.1072175
33977,Washington County,Tennessee,129375.0,4.4,47.92,-82.4911791,36.2636501
33978,Berrien County,Georgia,19397.0,2.7,25.78,-83.2443709,31.2561376
33979,Lanier County,Georgia,10423.0,2.7,9.59,-83.0768357,31.029016
33980,Lowndes County,Georgia,117406.0,2.7,53.66,-83.2628255,30.8195619
33981,Cook County,Georgia,17270.0,2.7,46.32,-83.4331569,31.1455115
33982,Brooks County,Georgia,15457.0,2.7,12.94,-83.5958387,30.8336559
33983,Echols County,Georgia,4006.0,2.7,0.0,-82.9078762,30.6968025
33984,Lawrence County,Alabama,32924.0,0.7,6.07,-87.3017331,34.4776367
